rotation in degrees,displacement in mm,Force in Newtons,Fit spring constant in Newtons per Meter,Raw spring constant in Newtons per Meter,Spring Potential Energy in Joules,Fit Torque in Nmm
-0,0,0,0,1786.45445944509,0,0
-0,5.4388,8.78227961555556,1987.49156557418,1962.69238417832,0.0293955422835419,-30.4068555555556
-0,10.8692,16.0423414085185,2148.39179179259,2098.89533384329,0.126904975324293,-47.8983888888889
-0,16.3036,22.2407064788889,2213.65317504042,2152.35208356119,0.294202667551029,-56.4420703703704
-0,21.7366,25.1633033751852,1930.56349678817,1866.4986430291,0.456076107694529,-51.4909111111111
-0,27.1679,25.8761288681481,1393.49018929573,1354.25504918033,0.514263924603311,-39.1271
-0,32.6016,28.0992487451852,2899.35066266565,2834.87027707808,1.54080818896901,-31.1459111111111
9.6849,0.0006,-6.53825291925926,1738.83218193076,1733.05353949721,3.12989792747536e-10,29.6004037037037
9.6849,5.4396,1.1360914137037,1869.3466152447,1841.6122433377,0.0276562804477658,-1.62326296296296
9.6849,10.8707,7.87244236925927,2001.60387998157,1963.67844893501,0.118266885437613,-21.6152444444445
9.6849,16.3054,13.5400487755556,2026.00162272407,1975.7321483264,0.269322543772715,-32.0931555555555
9.6849,21.738,17.9973181974074,1882.78797667921,1826.24719396127,0.444846921507724,-34.5931407407407
9.6849,27.1695,21.7706782025926,1805.75008671825,1761.86794226984,0.666485861706382,-32.594937037037
9.6849,32.6035,24.9404582977778,1879.08026967989,1848.62082968476,0.998720088270636,-26.6522222222222
19.3941,0.0006,-9.69814936296296,2166.38280157328,2138.13440622699,3.8994890428319e-10,46.4961703703704
19.3941,5.4395,-1.53021563962963,1990.04815385354,1969.35488311121,0.0294409318407176,10.2373481481481
19.3941,10.8711,5.69776331962963,2137.22703740066,2099.95532867438,0.126289616784432,-14.0263296296297
19.3941,16.3057,11.8893314288889,2177.80676368311,2131.6608006125,0.289513114926367,-27.9310592592592
19.3941,21.7387,16.9102487211111,2107.22158013382,2051.8790089696,0.497905986527731,-33.3162925925926
19.3941,27.1706,21.0217300703704,1965.32501421765,1910.60350245499,0.725442247526187,-32.5751111111111
19.3941,32.6054,24.725489792963,1744.96818371654,1698.17057664953,0.927548403103994,-28.1864962962963
29.0493,0.0005,-12.983609692963,2479.26720012795,2478.90239747634,3.09908400015993e-10,63.0504333333333
29.0493,5.4399,-4.20703668,2090.62065674063,2065.70466411797,0.0309333584464755,23.3126333333333
29.0493,10.8712,3.60544606407408,2331.65738010755,2292.08545375123,0.137781119765474,-5.95356296296298
29.0493,16.3059,10.4733408474074,2385.34874209788,2332.18160743576,0.317111094149515,-24.0437037037037
29.0493,21.739,16.147687877037,2344.96019485408,2278.81312910285,0.554095476232553,-32.5302333333333
29.0493,27.1705,20.7790186837037,2155.32485450196,2099.00079790141,0.795569275349842,-33.6665703703704
29.0493,32.6047,24.8859403388889,2003.52316571339,1943.44635667396,1.06493914174514,-30.1969814814815
38.8197,0.0006,-14.8613595259259,1918.42541942654,1928.58874053827,3.45316575496776e-10,70.8813592592593
38.8197,5.4311,-6.85352742296296,1790.25853325595,1781.22465304338,0.0264034912109247,37.1294407407407
38.8197,10.8621,1.02059217814815,2524.63958854843,2478.30948313622,0.14893507410607,4.75833703703704
38.8197,16.2957,8.80550191962962,2605.63244234145,2548.78228984239,0.345962637114038,-18.7621148148148
38.8197,21.7283,15.2689232644444,2596.2811247224,2530.24908196721,0.612876851279565,-31.0704370370371
38.8197,27.1609,20.5672882925926,2450.22159797213,2377.12106701651,0.903781986809617,-34.9068111111111
38.8197,32.594,25.1193363048148,2262.80502611203,2198.96126845271,1.20196677084279,-32.648562962963
48.5793,0.0006,-14.363124282963,1721.95111666182,1694.90059943212,3.09951200999127e-10,65.5934777777778
48.5793,5.44,-8.59806848407407,1334.14456680257,1314.73040961223,0.0197410703260642,45.6446333333333
48.5793,10.8716,-2.25253967703704,2507.98265525325,2474.56381212452,0.148211349943804,18.9692888888889
48.5793,16.306,6.46751167148148,2856.91969702025,2797.79432538815,0.379806955321578,-10.5008777777778
48.5793,21.7393,14.0346663096296,2862.20862821647,2795.79938737556,0.676335840936958,-28.170074074074
48.5793,27.1709,20.185695507037,2755.82964803245,2678.4347465035,1.01725637594921,-35.5122518518518
48.5793,32.6052,25.4128974633333,2532.31631029297,2459.23612296248,1.34605155346131,-35.3901740740741
58.2291,0.0006,-12.5052516014815,1441.56532990839,1420.58663512093,2.59481759383511e-10,52.4061555555556
58.2291,5.4398,-8.39030495407407,916.977031585666,887.927347340775,0.013567328088296,42.4143444444444
58.2291,10.8709,-4.84318307592592,1737.68932027632,1721.76162333406,0.102676992141863,29.7185185185185
58.2291,16.3054,3.05497814962962,2944.37242185856,2887.56683070866,0.391404360971322,2.03342222222224
58.2291,21.7388,12.0114373811111,3137.25953778166,3064.6542600897,0.741295880391433,-22.4295444444444
58.2291,27.1706,19.3988498411112,3089.41890033196,3015.81114266988,1.14036862828964,-34.907088888889
58.2291,32.6054,25.5156905562963,2894.85496850345,2819.68350289903,1.538777685639,-37.9222481481481
68.0247,0.0006,-10.2321029592593,1285.18119313528,1272.13996425192,2.3133261476435e-10,38.7861333333333
68.0247,5.4312,-6.86627146111111,652.133610740931,622.339135182354,0.00961829692181142,34.0604555555555
68.0247,10.8632,-4.92322010518518,983.340073123258,965.277483298653,0.0580215455129863,29.3105407407407
68.0247,16.297,-0.308470735925931,2315.53706810786,2290.83123494636,0.307494302470075,14.513537037037
68.0247,21.7297,8.90594364037035,3310.04252962476,3245.46743550503,0.781467712575127,-12.7553962962962
