Time,Displacement,Force,Rotation,Torque
(s),(mm),(mN),(deg),(N-mm)
"7.9250","16.3098","21538.16605","0.0000","-55.0928"
"7.9300","16.3176","21546.75484","0.0000","-55.1239"
"7.9350","16.3309","21555.97496","0.0000","-55.1577"
"7.9400","16.3510","21574.37897","0.0000","-55.2147"
"7.9450","16.3785","21618.85834","0.0000","-55.3372"
"7.9500","16.4131","21701.17569","0.0000","-55.5308"
"7.9550","16.4541","21818.99452","0.0000","-55.7672"
"7.9600","16.5001","21960.21461","0.0000","-56.0128"
"7.9650","16.5499","22107.68890","0.0000","-56.2386"
"7.9700","16.6020","22243.85452","0.0000","-56.4283"
"7.9750","16.6554","22361.40060","0.0000","-56.6087"
"7.9800","16.7092","22464.04457","0.0000","-56.7879"
"7.9850","16.7627","22560.99892","0.0000","-56.9707"
"7.9900","16.8157","22661.27205","0.0000","-57.1840"
"7.9950","16.8679","22769.96803","0.0000","-57.4046"
"8.0000","16.9194","22884.77516","0.0000","-57.6227"
"8.0050","16.9703","23000.47874","0.0000","-57.8549"
"8.0100","17.0205","23110.63576","0.0000","-58.0799"
"8.0150","17.0702","23210.87265","0.0000","-58.2772"
"8.0200","17.1197","23304.92783","0.0000","-58.4351"
"8.0250","17.1689","23397.89963","0.0000","-58.5633"
"8.0300","17.2179","23493.30902","0.0000","-58.6823"
"8.0350","17.2668","23591.71677","0.0000","-58.8072"
"8.0390","17.3059","23671.12923","0.0000","-58.9231"
"8.0400","17.3157","23690.78255","0.0000","-58.9542"
"10.5310","21.7366","24540.61508","0.0000","-50.7265"
"10.5360","21.7366","24533.10776","0.0000","-50.7123"
"10.5410","21.7367","24530.16853","0.0000","-50.7070"
"10.5460","21.7372","24530.91812","0.0000","-50.7028"
"10.5510","21.7388","24536.47041","0.0000","-50.7018"
"10.5560","21.7427","24543.56194","0.0000","-50.6982"
"10.5610","21.7504","24550.77934","0.0000","-50.7121"
"10.5660","21.7637","24560.89211","0.0000","-50.7391"
"10.5710","21.7838","24578.40538","0.0000","-50.7679"
"10.5760","21.8113","24617.54990","0.0000","-50.8340"
"10.5810","21.8460","24689.47601","0.0000","-50.9501"
"10.5860","21.8871","24795.23277","0.0000","-51.0993"
"10.5910","21.9333","24923.59352","0.0000","-51.2513"
"10.5960","21.9831","25056.36215","0.0000","-51.3856"
"10.6010","22.0353","25177.82021","0.0000","-51.5107"
"10.6060","22.0888","25281.76880","0.0000","-51.6258"
"10.6110","22.1425","25371.37413","0.0000","-51.7320"
"10.6160","22.1960","25453.95279","0.0000","-51.8273"
"10.6210","22.2489","25539.61945","0.0000","-51.9412"
"10.6260","22.3010","25632.48634","0.0000","-52.0726"
"10.6310","22.3523","25730.10063","0.0000","-52.2127"
"10.6360","22.4030","25826.29204","0.0000","-52.3345"
"10.6410","22.4532","25916.58974","0.0000","-52.4392"
"10.6460","22.5029","26000.61417","0.0000","-52.5294"
"10.6510","22.5523","26082.20863","0.0000","-52.6038"
"10.6560","22.6014","26163.00964","0.0000","-52.6786"
"10.6610","22.6504","26246.22154","0.0000","-52.7588"
"10.6660","22.6993","26330.45387","0.0000","-52.8147"
"10.6700","22.7384","26396.53206","0.0000","-52.8494"
"10.6710","22.7482","26412.28485","0.0000","-52.8553"
"13.1620","27.1679","25415.37666","0.0000","-39.1308"
"13.1670","27.1679","25407.89032","0.0000","-39.1112"
"13.1720","27.1680","25403.91922","0.0000","-39.0951"
"13.1770","27.1685","25403.77617","0.0000","-39.0687"
"13.1820","27.1701","25408.52547","0.0000","-39.0366"
"13.1870","27.1741","25417.12189","0.0000","-39.0307"
"13.1920","27.1820","25427.93274","0.0000","-39.0443"
"13.1970","27.1953","25440.51170","0.0000","-39.0574"
"13.2020","27.2155","25459.05876","0.0000","-39.0615"
"13.2070","27.2430","25492.91611","0.0000","-39.0760"
"13.2120","27.2776","25548.95973","0.0000","-39.1291"
"13.2170","27.3187","25629.92287","0.0000","-39.2094"
"13.2220","27.3648","25724.06578","0.0000","-39.2561"
"13.2270","27.4147","25818.44902","0.0000","-39.2681"
"13.2320","27.4670","25901.59416","0.0000","-39.2694"
"13.2370","27.5206","25971.01212","0.0000","-39.2570"
"13.2420","27.5744","26028.49579","0.0000","-39.2149"
"13.2470","27.6281","26082.42798","0.0000","-39.1760"
"13.2520","27.6811","26142.02499","0.0000","-39.1713"
"13.2570","27.7333","26209.22470","0.0000","-39.1727"
"13.2620","27.7848","26282.26662","0.0000","-39.1680"
"13.2670","27.8355","26353.97339","0.0000","-39.1629"
"13.2720","27.8857","26420.03632","0.0000","-39.1506"
"13.2770","27.9354","26479.49600","0.0000","-39.1175"
"13.2820","27.9847","26536.91483","0.0000","-39.0627"
"13.2870","28.0339","26595.06607","0.0000","-38.9918"
"13.2920","28.0829","26654.52003","0.0000","-38.9419"
"13.2970","28.1319","26717.26036","0.0000","-38.9152"
"13.3010","28.1711","26768.19801","0.0000","-38.9019"
"13.3020","28.1809","26780.67589","0.0000","-38.8996"
"15.7970","32.6016","27121.30547","0.0000","-29.6789"
"15.8020","32.6016","27118.21938","0.0000","-29.6828"
"15.8070","32.6017","27118.77060","0.0000","-29.6965"
"15.8120","32.6022","27121.57249","0.0000","-29.7159"
"15.8170","32.6038","27130.16510","0.0000","-29.7166"
"15.8220","32.6077","27144.26804","0.0000","-29.7284"
"15.8270","32.6154","27165.05432","0.0000","-29.7622"
"15.8320","32.6287","27196.13457","0.0000","-29.8269"
"15.8370","32.6486","27245.29266","0.0000","-29.9273"
"15.8420","32.6760","27326.07460","0.0000","-30.0876"
"15.8470","32.7104","27446.50459","0.0000","-30.3202"
"15.8520","32.7512","27600.99983","0.0000","-30.5758"
"15.8570","32.7971","27776.81351","0.0000","-30.8420"
"15.8620","32.8468","27957.17239","0.0000","-31.1080"
"15.8670","32.8987","28126.52016","0.0000","-31.3523"
"15.8720","32.9520","28276.96800","0.0000","-31.5528"
"15.8770","33.0056","28412.25433","0.0000","-31.7405"
"15.8820","33.0590","28541.20064","0.0000","-31.9055"
"15.8870","33.1119","28672.90115","0.0000","-32.0607"
"15.8920","33.1641","28809.75342","0.0000","-32.2131"
"15.8970","33.2156","28950.18959","0.0000","-32.3644"
"15.9020","33.2665","29088.74512","0.0000","-32.5221"
"15.9070","33.3168","29220.79659","0.0000","-32.6745"
"15.9120","33.3667","29345.72411","0.0000","-32.8069"
"15.9170","33.4162","29467.61703","0.0000","-32.9293"
"15.9220","33.4655","29588.87291","0.0000","-33.0284"
"15.9270","33.5147","29709.82552","0.0000","-33.1200"
"15.9320","33.5637","29832.75604","0.0000","-33.2376"
"15.9360","33.6028","29929.04091","0.0000","-33.3482"
"15.9370","33.6126","29952.68250","0.0000","-33.3739"
"24.3290","0.0006","-7194.73696","-9.6849","32.6288"
"24.3340","0.0006","-7190.10592","-9.6849","32.6139"
"24.3390","0.0007","-7178.80058","-9.6849","32.5974"
"24.3440","0.0015","-7160.26545","-9.6849","32.5703"
"24.3490","0.0042","-7142.74168","-9.6849","32.5335"
"24.3540","0.0105","-7132.08437","-9.6849","32.4618"
"24.3590","0.0220","-7126.77002","-9.6849","32.3440"
"24.3640","0.0404","-7115.93628","-9.6849","32.1661"
"24.3690","0.0663","-7085.38485","-9.6849","31.9212"
"24.3740","0.0997","-7024.55235","-9.6849","31.5984"
"24.3790","0.1398","-6928.77340","-9.6849","31.1941"
"24.3840","0.1853","-6809.43537","-9.6849","30.7468"
"24.3890","0.2348","-6685.40096","-9.6849","30.2879"
"24.3940","0.2868","-6574.02372","-9.6849","29.8347"
"24.3990","0.3403","-6481.59170","-9.6849","29.4074"
"24.4040","0.3941","-6404.31595","-9.6849","29.0187"
"24.4090","0.4477","-6332.12709","-9.6849","28.6445"
"24.4140","0.5007","-6258.93974","-9.6849","28.2730"
"24.4190","0.5530","-6179.20923","-9.6849","27.9081"
"24.4240","0.6045","-6092.86547","-9.6849","27.5338"
"24.4290","0.6552","-6006.31762","-9.6849","27.1609"
"24.4340","0.7054","-5924.60632","-9.6849","26.7826"
"24.4390","0.7550","-5848.57750","-9.6849","26.4190"
"24.4440","0.8043","-5777.09484","-9.6849","26.1040"
"24.4490","0.8535","-5703.84741","-9.6849","25.7990"
"24.4540","0.9024","-5627.20108","-9.6849","25.4913"
"24.4590","0.9513","-5547.12296","-9.6849","25.1697"
"24.4640","1.0002","-5466.34722","-9.6849","24.8234"
"24.4650","1.0100","-5450.63782","-9.6849","24.7521"
"24.4660","1.0198","-5435.12440","-9.6849","24.6757"
"26.9770","5.4396","521.17223","-9.6849","0.5287"
"26.9820","5.4396","518.53055","-9.6849","0.5242"
"26.9870","5.4397","519.70774","-9.6849","0.5186"
"26.9920","5.4402","526.54719","-9.6849","0.5089"
"26.9970","5.4419","538.38032","-9.6849","0.5100"
"27.0020","5.4458","550.57132","-9.6849","0.5133"
"27.0070","5.4536","559.89528","-9.6849","0.4857"
"27.0120","5.4669","567.39861","-9.6849","0.4327"
"27.0170","5.4871","579.56237","-9.6849","0.3304"
"27.0220","5.5146","612.57184","-9.6849","0.1437"
"27.0270","5.5494","676.97966","-9.6849","-0.1314"
"27.0320","5.5906","775.01589","-9.6849","-0.4497"
"27.0370","5.6369","896.45022","-9.6849","-0.7938"
"27.0420","5.6870","1023.27776","-9.6849","-1.1607"
"27.0470","5.7394","1139.21201","-9.6849","-1.5380"
"27.0520","5.7930","1237.82074","-9.6849","-1.9145"
"27.0570","5.8470","1321.29467","-9.6849","-2.2526"
"27.0620","5.9006","1399.11485","-9.6849","-2.5773"
"27.0670","5.9536","1482.38552","-9.6849","-2.9157"
"27.0720","6.0059","1576.74098","-9.6849","-3.2510"
"27.0770","6.0573","1676.69165","-9.6849","-3.5897"
"27.0820","6.1080","1776.47042","-9.6849","-3.9128"
"27.0870","6.1581","1871.08803","-9.6849","-4.2111"
"27.0920","6.2078","1957.36432","-9.6849","-4.4930"
"27.0970","6.2572","2040.06362","-9.6849","-4.7730"
"27.1020","6.3063","2122.80798","-9.6849","-5.0455"
"27.1070","6.3552","2207.35240","-9.6849","-5.3145"
"27.1120","6.4041","2294.20590","-9.6849","-5.5979"
"27.1160","6.4431","2363.07883","-9.6849","-5.8421"
"27.1170","6.4529","2379.97913","-9.6849","-5.9056"
"29.6120","10.8707","7219.49863","-9.6849","-19.8145"
"29.6170","10.8707","7218.05048","-9.6849","-19.8217"
"29.6220","10.8708","7218.53352","-9.6849","-19.8430"
"29.6270","10.8713","7222.84794","-9.6849","-19.8523"
"29.6320","10.8730","7230.20458","-9.6849","-19.8651"
"29.6370","10.8770","7238.34276","-9.6849","-19.8786"
"29.6420","10.8850","7245.22114","-9.6849","-19.8921"
"29.6470","10.8987","7253.95918","-9.6849","-19.9345"
"29.6520","10.9191","7272.44139","-9.6849","-20.0210"
"29.6570","10.9469","7314.39543","-9.6849","-20.1689"
"29.6620","10.9818","7388.01670","-9.6849","-20.3800"
"29.6670","11.0230","7493.89648","-9.6849","-20.6322"
"29.6720","11.0692","7620.77856","-9.6849","-20.9247"
"29.6770","11.1190","7751.77622","-9.6849","-21.2255"
"29.6820","11.1712","7871.47141","-9.6849","-21.5091"
"29.6870","11.2245","7975.05569","-9.6849","-21.7898"
"29.6920","11.2782","8068.03131","-9.6849","-22.0560"
"29.6970","11.3317","8157.48405","-9.6849","-22.3227"
"29.7020","11.3845","8250.61035","-9.6849","-22.6161"
"29.7070","11.4366","8349.97368","-9.6849","-22.9335"
"29.7120","11.4880","8453.52173","-9.6849","-23.2374"
"29.7170","11.5387","8557.18040","-9.6849","-23.5283"
"29.7220","11.5889","8655.22575","-9.6849","-23.8062"
"29.7270","11.6386","8747.82372","-9.6849","-24.0571"
"29.7320","11.6880","8837.47864","-9.6849","-24.2943"
"29.7370","11.7372","8926.87798","-9.6849","-24.5002"
"29.7420","11.7862","9017.24625","-9.6849","-24.7068"
"29.7470","11.8353","9108.83045","-9.6849","-24.9316"
"29.7510","11.8745","9181.40984","-9.6849","-25.1259"
"29.7520","11.8843","9199.28455","-9.6849","-25.1782"
"32.2600","16.3054","12883.53825","-9.6849","-30.7488"
"32.2650","16.3054","12880.54466","-9.6849","-30.7272"
"32.2700","16.3055","12880.50747","-9.6849","-30.7148"
"32.2750","16.3060","12883.90350","-9.6849","-30.7051"
"32.2800","16.3077","12890.54871","-9.6849","-30.7092"
"32.2850","16.3116","12898.45943","-9.6849","-30.7312"
"32.2900","16.3194","12905.97820","-9.6849","-30.7569"
"32.2950","16.3327","12914.48784","-9.6849","-30.7917"
"32.3000","16.3528","12931.57101","-9.6849","-30.8453"
"32.3050","16.3803","12971.60530","-9.6849","-30.9502"
"32.3100","16.4149","13044.54803","-9.6849","-31.1399"
"32.3150","16.4559","13150.35629","-9.6849","-31.3750"
"32.3200","16.5019","13279.19960","-9.6849","-31.6087"
"32.3250","16.5517","13414.54601","-9.6849","-31.8471"
"32.3300","16.6039","13540.04192","-9.6849","-32.0877"
"32.3350","16.6572","13649.15371","-9.6849","-32.3090"
"32.3400","16.7110","13745.76855","-9.6849","-32.5144"
"32.3450","16.7645","13835.50739","-9.6849","-32.7079"
"32.3500","16.8175","13927.37293","-9.6849","-32.9103"
"32.3550","16.8697","14026.23177","-9.6849","-33.1280"
"32.3600","16.9212","14131.33335","-9.6849","-33.3358"
"32.3650","16.9720","14235.35061","-9.6849","-33.5469"
"32.3700","17.0222","14334.12933","-9.6849","-33.7487"
"32.3750","17.0720","14425.21572","-9.6849","-33.9236"
"32.3800","17.1214","14511.48129","-9.6849","-34.0703"
"32.3850","17.1706","14600.18349","-9.6849","-34.2117"
"32.3900","17.2196","14689.75258","-9.6849","-34.3698"
"32.3950","17.2685","14781.34251","-9.6849","-34.5504"
"32.3990","17.3076","14853.73211","-9.6849","-34.6878"
"32.4000","17.3174","14871.33598","-9.6849","-34.7205"
"34.9020","21.7380","17387.83264","-9.6849","-33.7300"
"34.9070","21.7380","17385.07843","-9.6849","-33.7154"
"34.9120","21.7381","17383.27599","-9.6849","-33.7234"
"34.9170","21.7386","17384.18579","-9.6849","-33.7349"
"34.9220","21.7402","17389.12773","-9.6849","-33.7432"
"34.9270","21.7441","17395.17212","-9.6849","-33.7497"
"34.9320","21.7519","17400.89607","-9.6849","-33.7504"
"34.9370","21.7652","17408.96034","-9.6849","-33.7433"
"34.9420","21.7853","17424.81804","-9.6849","-33.7533"
"34.9470","21.8129","17464.10561","-9.6849","-33.8356"
"34.9520","21.8477","17535.35652","-9.6849","-33.9712"
"34.9570","21.8888","17638.74817","-9.6849","-34.1360"
"34.9620","21.9350","17763.42201","-9.6849","-34.3124"
"34.9670","21.9848","17892.15279","-9.6849","-34.4887"
"34.9720","22.0371","18008.80241","-9.6849","-34.6502"
"34.9770","22.0905","18108.27637","-9.6849","-34.7915"
"34.9820","22.1443","18194.02695","-9.6849","-34.9212"
"34.9870","22.1977","18275.04158","-9.6849","-35.0263"
"34.9920","22.2506","18361.41968","-9.6849","-35.1289"
"34.9970","22.3027","18453.97186","-9.6849","-35.2441"
"35.0020","22.3541","18549.81232","-9.6849","-35.3626"
"35.0070","22.4047","18644.72580","-9.6849","-35.4921"
"35.0120","22.4549","18734.46846","-9.6849","-35.6118"
"35.0170","22.5046","18816.93840","-9.6849","-35.7213"
"35.0220","22.5539","18895.13016","-9.6849","-35.8140"
"35.0270","22.6031","18974.63989","-9.6849","-35.8939"
"35.0320","22.6521","19057.20520","-9.6849","-35.9694"
"35.0370","22.7010","19140.39421","-9.6849","-36.0617"
"35.0410","22.7401","19205.85632","-9.6849","-36.1396"
"35.0420","22.7499","19221.83228","-9.6849","-36.1568"
"37.5330","27.1695","21178.56216","-9.6849","-32.1125"
"37.5380","27.1695","21175.35400","-9.6849","-32.1072"
"37.5430","27.1696","21177.37770","-9.6849","-32.1054"
"37.5480","27.1701","21183.85506","-9.6849","-32.0899"
"37.5530","27.1718","21191.41388","-9.6849","-32.0761"
"37.5580","27.1758","21198.46535","-9.6849","-32.0846"
"37.5630","27.1837","21203.34244","-9.6849","-32.0988"
"37.5680","27.1972","21208.04787","-9.6849","-32.0970"
"37.5730","27.2175","21220.94727","-9.6849","-32.0925"
"37.5780","27.2451","21258.33511","-9.6849","-32.1192"
"37.5830","27.2799","21330.08194","-9.6849","-32.1981"
"37.5880","27.3209","21433.63190","-9.6849","-32.3094"
