Time,Displacement,Force,Rotation
"0.9600","0.0864","-5.3176","-4.1097"
"0.9800","0.0902","-5.4545","-4.2098"
"1.0000","0.0943","-5.5890","-4.3100"
"1.0200","0.0987","-5.7281","-4.4103"
"1.0400","0.1032","-5.8616","-4.5103"
"1.0600","0.1076","-5.9889","-4.6100"
"1.0800","0.1119","-6.1239","-4.7098"
"1.1000","0.1165","-6.2483","-4.8096"
"1.1200","0.1213","-6.3775","-4.9096"
"1.1400","0.1256","-6.5061","-5.0094"
"1.1600","0.1296","-6.6282","-5.1094"
"1.1800","0.1337","-6.7616","-5.2095"
"1.2000","0.1381","-6.8790","-5.3095"
"1.2200","0.1428","-7.0099","-5.4096"
"1.2400","0.1480","-7.1214","-5.5093"
"1.2600","0.1534","-7.2377","-5.6092"
"1.2800","0.1586","-7.3554","-5.7093"
"1.3000","0.1638","-7.4700","-5.8095"
"1.3200","0.1693","-7.5893","-5.9096"
"1.3400","0.1749","-7.6960","-6.0095"
"1.3600","0.1798","-7.8143","-6.1096"
"1.3800","0.1845","-7.9281","-6.2102"
"1.4000","0.1895","-8.0315","-6.3099"
"1.4200","0.1949","-8.1384","-6.4096"
"1.4400","0.2005","-8.2361","-6.5096"
"1.4600","0.2062","-8.3436","-6.6094"
"1.4800","0.2117","-8.4463","-6.7095"
"1.5000","0.2175","-8.5412","-6.8092"
"1.5200","0.2238","-8.6329","-6.9091"
"1.5400","0.2300","-8.7160","-7.0090"
"1.5600","0.2359","-8.8110","-7.1092"
"1.5800","0.2419","-8.8897","-7.2094"
"1.6000","0.2483","-8.9741","-7.3092"
"1.6200","0.2551","-9.0420","-7.4088"
"1.6400","0.2620","-9.1081","-7.5091"
"1.6600","0.2689","-9.1740","-7.6093"
"1.6800","0.2760","-9.2272","-7.7093"
"1.7000","0.2827","-9.2842","-7.8094"
"1.7200","0.2887","-9.3407","-7.9093"
"1.7400","0.2948","-9.3880","-8.0098"
"1.7600","0.3013","-9.4191","-8.1098"
"1.7800","0.3085","-9.4348","-8.2094"
"1.8000","0.3158","-9.4509","-8.3096"
"1.8200","0.3232","-9.4560","-8.4095"
"1.8400","0.3309","-9.4549","-8.5094"
"1.8600","0.3379","-9.4354","-8.6093"
"1.8800","0.3448","-9.3693","-8.7091"
"1.9000","0.3521","-9.2804","-8.8093"
"1.9200","0.3599","-9.2219","-8.9093"
"1.9400","0.3677","-9.2158","-9.0094"
"1.9600","0.3755","-9.2032","-9.1095"
"1.9800","0.3834","-9.1836","-9.2091"
"2.0000","0.3908","-9.1435","-9.3091"
"2.0200","0.3981","-9.0507","-9.4093"
"2.0400","0.4060","-8.8410","-9.5092"
"2.0600","0.4146","-8.4703","-9.6092"
"2.0800","0.4233","-8.1111","-9.7092"
"2.1000","0.4323","-7.8690","-9.8095"
"2.1200","0.4409","-7.7548","-9.9098"
"2.1400","0.4491","-7.7227","-10.0095"
"2.1600","0.4573","-7.7235","-10.1092"
"2.1800","0.4662","-7.7570","-10.2090"
"2.2000","0.4753","-7.8045","-10.3090"
"2.2200","0.4847","-7.8797","-10.4090"
"2.2400","0.4936","-7.9738","-10.5087"
"2.2600","0.5017","-8.0779","-10.6089"
"2.2800","0.5098","-8.1882","-10.7093"
"2.3000","0.5184","-8.2892","-10.8092"
"2.3200","0.5274","-8.4025","-10.9089"
"2.3400","0.5369","-8.5047","-11.0087"
"2.3600","0.5461","-8.6122","-11.1087"
"2.3800","0.5551","-8.7272","-11.2091"
"2.4000","0.5648","-8.8237","-11.3089"
"2.4200","0.5750","-8.9273","-11.4088"
"2.4400","0.5852","-9.0191","-11.5090"
"2.4600","0.5951","-9.1228","-11.6095"
"2.4800","0.6044","-9.2282","-11.7097"
"2.5000","0.6137","-9.3241","-11.8094"
"2.5200","0.6237","-9.4192","-11.9092"
"2.5400","0.6341","-9.5010","-12.0090"
"2.5600","0.6450","-9.5858","-12.1089"
"2.5800","0.6553","-9.6692","-12.2086"
"2.6000","0.6650","-9.7561","-12.3086"
"2.6200","0.6749","-9.8488","-12.4087"
"2.6400","0.6849","-9.9198","-12.5087"
"2.6600","0.6954","-9.9970","-12.6088"
"2.6800","0.7056","-10.0682","-12.7086"
"2.7000","0.7160","-10.1445","-12.8084"
"2.7200","0.7272","-10.2149","-12.9084"
"2.7400","0.7389","-10.2799","-13.0086"
"2.7600","0.7506","-10.3523","-13.1087"
"2.7800","0.7615","-10.4231","-13.2087"
"2.8000","0.7724","-10.5125","-13.3087"
"2.8200","0.7836","-10.5928","-13.4092"
"2.8400","0.7950","-10.6834","-13.5091"
"2.8600","0.8063","-10.7788","-13.6088"
"2.8800","0.8172","-10.8732","-13.7088"
"2.9000","0.8283","-10.9694","-13.8087"
"2.9200","0.8396","-11.0558","-13.9088"
"2.9400","0.8515","-11.1379","-14.0085"
"2.9600","0.8631","-11.2309","-14.1084"
"2.9800","0.8745","-11.3221","-14.2085"
"3.0000","0.8865","-11.4168","-14.3085"
"3.0200","0.8990","-11.4999","-14.4087"
"3.0400","0.9113","-11.5933","-14.5086"
"3.0600","0.9229","-11.6864","-14.6082"
"3.0800","0.9350","-11.7755","-14.7087"
"3.1000","0.9477","-11.8606","-14.8088"
"3.1200","0.9606","-11.9372","-14.9086"
"3.1400","0.9729","-12.0362","-15.0087"
"3.1600","0.9850","-12.1214","-15.1087"
"3.1800","0.9972","-12.2189","-15.2092"
"3.2000","1.0097","-12.3028","-15.3093"
"3.2200","1.0222","-12.3927","-15.4087"
"3.2400","1.0351","-12.4808","-15.5088"
"3.2600","1.0488","-12.5555","-15.6088"
"3.2800","1.0626","-12.6354","-15.7088"
"3.3000","1.0755","-12.7204","-15.8086"
"3.3200","1.0881","-12.8100","-15.9085"
"3.3400","1.1014","-12.8969","-16.0087"
"3.3600","1.1151","-12.9746","-16.1086"
"3.3800","1.1282","-13.0668","-16.2088"
"3.4000","1.1413","-13.1466","-16.3089"
"3.4200","1.1548","-13.2314","-16.4085"
"3.4400","1.1685","-13.3146","-16.5085"
"3.4600","1.1818","-13.4018","-16.6087"
"3.4800","1.1955","-13.4855","-16.7087"
"3.5000","1.2098","-13.5567","-16.8088"
"3.5200","1.2241","-13.6395","-16.9088"
"3.5400","1.2378","-13.7223","-17.0090"
"3.5600","1.2519","-13.8028","-17.1096"
"3.5800","1.2667","-13.8749","-17.2092"
"3.6000","1.2810","-13.9457","-17.3090"
"3.6200","1.2950","-14.0336","-17.4087"
"3.6400","1.3091","-14.1085","-17.5087"
"3.6600","1.3235","-14.1895","-17.6086"
"3.6800","1.3377","-14.2688","-17.7085"
"3.7000","1.3526","-14.3407","-17.8086"
"3.7200","1.3683","-14.4088","-17.9087"
"3.7400","1.3835","-14.4759","-18.0089"
"3.7600","1.3980","-14.5626","-18.1086"
"3.7800","1.4129","-14.6294","-18.2084"
"3.8000","1.4283","-14.7036","-18.3085"
"3.8200","1.4432","-14.7763","-18.4088"
"3.8400","1.4581","-14.8537","-18.5086"
"3.8600","1.4734","-14.9355","-18.6086"
"3.8800","1.4886","-15.0005","-18.7089"
"3.9000","1.5038","-15.0816","-18.8092"
"3.9200","1.5197","-15.1478","-18.9093"
"3.9400","1.5354","-15.2175","-19.0090"
"3.9600","1.5507","-15.2987","-19.1088"
"3.9800","1.5666","-15.3634","-19.2087"
"4.0000","1.5830","-15.4333","-19.3087"
"4.0200","1.5989","-15.4998","-19.4084"
"4.0400","1.6144","-15.5787","-19.5085"
"4.0600","1.6302","-15.6520","-19.6086"
"4.0800","1.6464","-15.7176","-19.7087"
"4.1000","1.6628","-15.7842","-19.8088"
"4.1200","1.6798","-15.8382","-19.9084"
"4.1400","1.6966","-15.9044","-20.0083"
"4.1600","1.7132","-15.9713","-20.1083"
"4.1800","1.7300","-16.0322","-20.2084"
"4.2000","1.7467","-16.1022","-20.3086"
"4.2200","1.7631","-16.1707","-20.4086"
"4.2400","1.7797","-16.2470","-20.5085"
"4.2600","1.7962","-16.3115","-20.6091"
"4.2800","1.8127","-16.3854","-20.7090"
"4.3000","1.8298","-16.4317","-20.8086"
"4.3200","1.8479","-16.4770","-20.9086"
"4.3400","1.8652","-16.5462","-21.0085"
"4.3600","1.8826","-16.6074","-21.1085"
"4.3800","1.9000","-16.6738","-21.2083"
"4.4000","1.9170","-16.7363","-21.3083"
"4.4200","1.9341","-16.8074","-21.4083"
"4.4400","1.9517","-16.8720","-21.5083"
"4.4600","1.9695","-16.9319","-21.6086"
"4.4800","1.9879","-16.9932","-21.7086"
"4.5000","2.0062","-17.0418","-21.8082"
"4.5200","2.0241","-17.1095","-21.9083"
"4.5400","2.0423","-17.1626","-22.0085"
"4.5600","2.0607","-17.2202","-22.1083"
"4.5800","2.0788","-17.2884","-22.2086"
"4.6000","2.0966","-17.3462","-22.3085"
"4.6200","2.1142","-17.4179","-22.4090"
"4.6400","2.1322","-17.4724","-22.5093"
"4.6600","2.1513","-17.5227","-22.6087"
"4.6800","2.1701","-17.5709","-22.7089"
"4.7000","2.1886","-17.6250","-22.8089"
"4.7200","2.2074","-17.6808","-22.9087"
"4.7400","2.2261","-17.7299","-23.0083"
"4.7600","2.2450","-17.7901","-23.1082"
"4.7800","2.2642","-17.8396","-23.2085"
"4.8000","2.2832","-17.8931","-23.3083"
"4.8200","2.3026","-17.9429","-23.4086"
"4.8400","2.3221","-17.9871","-23.5087"
"4.8600","2.3417","-18.0450","-23.6083"
"4.8800","2.3618","-18.0898","-23.7085"
"4.9000","2.3811","-18.1483","-23.8086"
"4.9200","2.4000","-18.2064","-23.9084"
"4.9400","2.4188","-18.2580","-24.0086"
"4.9600","2.4381","-18.3159","-24.1086"
"4.9800","2.4584","-18.3479","-24.2087"
"5.0000","2.4790","-18.3930","-24.3091"
"5.0200","2.4987","-18.4358","-24.4087"
"5.0400","2.5188","-18.4766","-24.5085"
"5.0600","2.5388","-18.5219","-24.6084"
"5.0800","2.5590","-18.5621","-24.7084"
"5.1000","2.5789","-18.6109","-24.8083"
"5.1200","2.5985","-18.6608","-24.9080"
"5.1400","2.6187","-18.7042","-25.0081"
"5.1600","2.6390","-18.7449","-25.1083"
"5.1800","2.6594","-18.7804","-25.2084"
"5.2000","2.6800","-18.8224","-25.3081"
"5.2200","2.6996","-18.8660","-25.4081"
"5.2400","2.7190","-18.9240","-25.5080"
"5.2600","2.7386","-18.9684","-25.6082"
"5.2800","2.7585","-19.0185","-25.7081"
"5.3000","2.7791","-19.0555","-25.8082"
"5.3200","2.7991","-19.0966","-25.9083"
"5.3400","2.8190","-19.1484","-26.0087"
"5.3600","2.8390","-19.1897","-26.1089"
"5.3800","2.8588","-19.2467","-26.2086"
"5.4000","2.8788","-19.2914","-26.3084"
"5.4200","2.8986","-19.3353","-26.4082"
"5.4400","2.9186","-19.3890","-26.5082"
"5.4600","2.9393","-19.4193","-26.6081"
"5.4800","2.9595","-19.4693","-26.7082"
"5.5000","2.9799","-19.5080","-26.8083"
"5.5200","2.9997","-19.5582","-26.9082"
"5.5400","3.0190","-19.6142","-27.0082"
"5.5600","3.0385","-19.6560","-27.1079"
"5.5800","3.0586","-19.6981","-27.2078"
"5.6000","3.0792","-19.7301","-27.3080"
"5.6200","3.0995","-19.7725","-27.4082"
"5.6400","3.1190","-19.8248","-27.5082"
"5.6600","3.1390","-19.8677","-27.6082"
"5.6800","3.1593","-19.9019","-27.7081"
"5.7000","3.1793","-19.9471","-27.8087"
"5.7200","3.1990","-19.9932","-27.9087"
"5.7400","3.2184","-20.0381","-28.0083"
"5.7600","3.2386","-20.0841","-28.1082"
"5.7800","3.2592","-20.1192","-28.2081"
"5.8000","3.2795","-20.1573","-28.3081"
"5.8200","3.2996","-20.2027","-28.4080"
"5.8400","3.3192","-20.2369","-28.5081"
"5.8600","3.3389","-20.2926","-28.6080"
"5.8800","3.3589","-20.3326","-28.7081"
"5.9000","3.3787","-20.3773","-28.8083"
"5.9200","3.3990","-20.4126","-28.9082"
"5.9400","3.4189","-20.4501","-29.0077"
"5.9600","3.4387","-20.5023","-29.1079"
"5.9800","3.4590","-20.5415","-29.2080"
"6.0000","3.4793","-20.5834","-29.3077"
"6.0200","3.4995","-20.6272","-29.4079"
"6.0400","3.5191","-20.6677","-29.5078"
"6.0600","3.5385","-20.7256","-29.6084"
"6.0800","3.5589","-20.7553","-29.7089"
"6.1000","3.5793","-20.7950","-29.8082"
"6.1200","3.5996","-20.8393","-29.9082"
"6.1400","3.6196","-20.8716","-30.0082"
"6.1600","3.6392","-20.9201","-30.1080"
"6.1800","3.6591","-20.9527","-30.2077"
"6.2000","3.6789","-20.9993","-30.3076"
"6.2200","3.6988","-21.0376","-30.4078"
"6.2400","3.7190","-21.0806","-30.5078"
"6.2600","3.7391","-21.1168","-30.6082"
"6.2800","3.7598","-21.1368","-30.7083"
"6.3000","3.7801","-21.1726","-30.8078"
"6.3200","3.7996","-21.2202","-30.9078"
"6.3400","3.8192","-21.2667","-31.0079"
"6.3600","3.8388","-21.3102","-31.1077"
"6.3800","3.8590","-21.3485","-31.2079"
"6.4000","3.8796","-21.3808","-31.3080"
"6.4200","3.8998","-21.4146","-31.4081"
"6.4400","3.9201","-21.4589","-31.5088"
"6.4600","3.9402","-21.4938","-31.6085"
"6.4800","3.9597","-21.5437","-31.7084"
"6.5000","3.9793","-21.5821","-31.8079"
"6.5200","3.9988","-21.6222","-31.9076"
"6.5400","4.0188","-21.6607","-32.0075"
"6.5600","4.0390","-21.6875","-32.1075"
"6.5800","4.0590","-21.7360","-32.2075"
"6.6000","4.0793","-21.7676","-32.3076"
"6.6200","4.0993","-21.8020","-32.4079"
"6.6400","4.1191","-21.8412","-32.5076"
"6.6600","4.1386","-21.8795","-32.6074"
"6.6800","4.1582","-21.9248","-32.7075"
"6.7000","4.1787","-21.9509","-32.8078"
"6.7200","4.1991","-21.9775","-32.9076"
"6.7400","4.2192","-22.0167","-33.0076"
"6.7600","4.2395","-22.0435","-33.1077"
"6.7800","4.2594","-22.0895","-33.2080"
"6.8000","4.2792","-22.1210","-33.3083"
"6.8200","4.2986","-22.1644","-33.4079"
"6.8400","4.3183","-22.2056","-33.5078"
"6.8600","4.3386","-22.2277","-33.6078"
"6.8800","4.3590","-22.2538","-33.7077"
"6.9000","4.3792","-22.2799","-33.8074"
"6.9200","4.3993","-22.3187","-33.9074"
"6.9400","4.4188","-22.3562","-34.0075"
"6.9600","4.4385","-22.4034","-34.1075"
"6.9800","4.4584","-22.4387","-34.2078"
"7.0000","4.4787","-22.4662","-34.3073"
"7.0200","4.4994","-22.4935","-34.4072"
"7.0400","4.5195","-22.5218","-34.5074"
"7.0600","4.5397","-22.5573","-34.6074"
"7.0800","4.5601","-22.5828","-34.7076"
"7.1000","4.5799","-22.6132","-34.8077"
"7.1200","4.5993","-22.6560","-34.9075"
"7.1400","4.6184","-22.6911","-35.0081"
"7.1600","4.6384","-22.7284","-35.1081"
"7.1800","4.6592","-22.7383","-35.2076"
"7.2000","4.6792","-22.7710","-35.3077"
"7.2200","4.6989","-22.8076","-35.4076"
"7.2400","4.7187","-22.8324","-35.5077"
"7.2600","4.7385","-22.8747","-35.6074"
"7.2800","4.7585","-22.9001","-35.7074"
"7.3000","4.7785","-22.9339","-35.8074"
"7.3200","4.7990","-22.9593","-35.9075"
"7.3400","4.8196","-22.9764","-36.0078"
"7.3600","4.8397","-23.0050","-36.1075"
"7.3800","4.8598","-23.0283","-36.2071"
"7.4000","4.8797","-23.0627","-36.3074"
"7.4200","4.8993","-23.1006","-36.4073"
"7.4400","4.9187","-23.1327","-36.5071"
"7.4600","4.9383","-23.1747","-36.6074"
"7.4800","4.9587","-23.1949","-36.7075"
"7.5000","4.9792","-23.2206","-36.8079"
"7.5200","4.9987","-23.2513","-36.9081"
"7.5220","5.0005","-23.2562","-36.9180"

