Time,Displacement,Force,Rotation
"0.0000","0.0000","0.0471","0.0000"
"0.0200","0.0000","0.0441","0.0000"
"0.0400","0.0000","0.0421","0.0000"
"0.0600","0.0000","0.0452","0.0000"
"0.0800","0.0000","0.0415","0.0000"
"0.1000","0.0000","0.0479","0.0000"
"0.1200","0.0000","0.0405","0.0000"
"0.1400","0.0001","0.0466","-0.0236"
"0.1600","0.0001","0.0432","-0.1010"
"0.1800","0.0001","0.0436","-0.2027"
"0.2000","0.0002","0.0440","-0.3075"
"0.2200","0.0003","0.0025","-0.4095"
"0.2400","0.0003","-0.1745","-0.5101"
"0.2600","0.0004","-0.4152","-0.6101"
"0.2800","0.0006","-0.6508","-0.7102"
"0.3000","0.0007","-0.8825","-0.8107"
"0.3200","0.0010","-1.0950","-0.9108"
"0.3400","0.0016","-1.2945","-1.0104"
"0.3600","0.0025","-1.4907","-1.1105"
"0.3800","0.0042","-1.6605","-1.2103"
"0.4000","0.0065","-1.8189","-1.3103"
"0.4200","0.0094","-1.9697","-1.4101"
"0.4400","0.0126","-2.1075","-1.5098"
"0.4600","0.0157","-2.2538","-1.6101"
"0.4800","0.0185","-2.3814","-1.7102"
"0.5000","0.0208","-2.5140","-1.8103"
"0.5200","0.0228","-2.6334","-1.9104"
"0.5400","0.0248","-2.7527","-2.0099"
"0.5600","0.0271","-2.8582","-2.1098"
"0.5800","0.0294","-2.9614","-2.2099"
"0.6000","0.0319","-3.0768","-2.3098"
"0.6200","0.0344","-3.1929","-2.4098"
"0.6400","0.0369","-3.3207","-2.5098"
"0.6600","0.0396","-3.4434","-2.6103"
"0.6800","0.0424","-3.5640","-2.7107"
"0.7000","0.0453","-3.6880","-2.8104"
"0.7200","0.0481","-3.7985","-2.9101"
"0.7400","0.0509","-3.9225","-3.0099"
"0.7600","0.0536","-4.0455","-3.1099"
"0.7800","0.0565","-4.1625","-3.2098"
"0.8000","0.0596","-4.2835","-3.3095"
"0.8200","0.0632","-4.3980","-3.4098"
"0.8400","0.0669","-4.5257","-3.5099"
"0.8600","0.0704","-4.6448","-3.6100"
"0.8800","0.0734","-4.7777","-3.7098"
"0.9000","0.0762","-4.9122","-3.8097"
"0.9200","0.0793","-5.0495","-3.9096"
"0.9400","0.0828","-5.1885","-4.0098"
