# ,,,,,,,,,,
# 04/08/2024 10:34:40,,,,,,,,,,
# The parameters defined in the project are:,,,,,,,,,,
# ,P24 - t [mm],P25 - t1 [m],P26 - t2 [m],P27 - w_t [m],P28 - offset [m],P29 - t_n,P30 - Force Y Component [N],P31 - Total Deformation Maximum [mm],P32 - Equivalent Stress Average [MPa],P33 - Equivalent Stress Maximum [MPa]
# ,,,,,,,,,,
# The following header line defines the name of the columns by reference to the parameters.,,,,,,,,,,
Name,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33
DP 63,0.4,0.0004,0.0004,0.001851852,0.001851852,53,-0.01,2.96006865,0.029234752,0.464826435
DP 64,0.4,0.0004,0.0004,0.001818182,0.001818182,54,-0.01,2.984548875,0.029299071,0.464761302
DP 65,0.4,0.0004,0.0004,0.001785714,0.001785714,55,-0.01,2.976804099,0.030245053,0.465601162
DP 66,0.4,0.0004,0.0004,0.001754386,0.001754386,56,-0.01,2.978670207,0.029942342,0.465553567
DP 67,0.4,0.0004,0.0004,0.001724138,0.001724138,57,-0.01,2.953948463,0.03014963,0.464211623
DP 68,0.4,0.0004,0.0004,0.001694915,0.001694915,58,-0.01,2.970006043,0.02716493,0.464573803
DP 69,0.4,0.0004,0.0004,0.001666667,0.001666667,59,-0.01,2.975124913,0.026472791,0.464401832
DP 70,0.4,0.0004,0.0004,0.001639344,0.001639344,60,-0.01,2.964243445,0.026902156,0.464392774
DP 71,0.4,0.0004,0.0004,0.001612903,0.001612903,61,-0.01,2.939536752,0.026948703,0.464261438
DP 72,0.4,0.0004,0.0004,0.001587302,0.001587302,62,-0.01,2.946609014,0.026334494,0.464340521
DP 73,0.4,0.0004,0.0004,0.0015625,0.0015625,63,-0.01,2.944351574,0.026145046,0.4647626
DP 74,0.4,0.0004,0.0004,0.001538462,0.001538462,64,-0.01,2.93500121,0.025293052,0.464320714
DP 75,0.4,0.0004,0.0004,0.001515152,0.001515152,65,-0.01,2.917033184,0.025855326,0.474859643
DP 76,0.4,0.0004,0.0004,0.001492537,0.001492537,66,-0.01,2.937014057,0.027132139,0.464356144
DP 77,0.4,0.0004,0.0004,0.001470588,0.001470588,67,-0.01,2.925884765,0.025341173,0.464200681
DP 78,0.4,0.0004,0.0004,0.001449275,0.001449275,68,-0.01,2.92664105,0.025988013,0.464143947
DP 79,0.4,0.0004,0.0004,0.001428571,0.001428571,69,-0.01,2.917590003,0.026089108,0.502618724
DP 80,0.4,0.0004,0.0004,0.001408451,0.001408451,70,-0.01,2.927310619,0.026078684,0.464628936
DP 81,0.4,0.0004,0.0004,0.001388889,0.001388889,71,-0.01,2.924376357,0.026856846,0.464047018
DP 82,0.4,0.0004,0.0004,0.001369863,0.001369863,72,-0.01,2.915049116,0.026701228,0.464454754
DP 83,0.4,0.0004,0.0004,0.001351351,0.001351351,73,-0.01,2.906835604,0.027214118,0.486207227
DP 84,0.4,0.0004,0.0004,0.001333333,0.001333333,74,-0.01,2.903719455,0.026876886,0.472825164
DP 85,0.4,0.0004,0.0004,0.001315789,0.001315789,75,-0.01,2.896276692,0.026720722,0.46354616
DP 86,0.4,0.0004,0.0004,0.001298701,0.001298701,76,-0.01,2.909078589,0.027482493,0.47571518
DP 87,0.4,0.0004,0.0004,0.001282051,0.001282051,77,-0.01,2.848850036,0.022050631,0.463636842
DP 88,0.4,0.0004,0.0004,0.001265823,0.001265823,78,-0.01,2.885929762,0.023808076,0.463627194
DP 89,0.4,0.0004,0.0004,0.00125,0.00125,79,-0.01,2.876017833,0.022989901,0.464080346
