Time,Displacement,Force,Rotation,Torque
(s),(mm),(mN),(deg),(N-mm)
10.576,21.7348,44516.3002,0,-73.2435
10.581,21.7349,44513.70239,0,-73.2425
10.586,21.7354,44515.55252,0,-73.2378
10.591,21.737,44523.31924,0,-73.2403
10.596,21.7408,44535.00366,0,-73.2501
10.601,21.7486,44552.57416,0,-73.2835
10.606,21.7619,44582.71027,0,-73.3381
10.611,21.782,44634.5253,0,-73.4224
10.616,21.8095,44723.42682,0,-73.5767
10.621,21.8443,44859.56192,0,-73.8436
10.626,21.8854,45041.58783,0,-74.1792
10.631,21.9315,45254.55093,0,-74.5223
10.636,21.9814,45479.01154,0,-74.8756
10.641,22.0336,45695.31631,0,-75.2197
10.646,22.087,45892.36832,0,-75.5311
10.651,22.1407,46072.92557,0,-75.816
10.656,22.1942,46244.22455,0,-76.084
10.661,22.2471,46416.30554,0,-76.3515
10.666,22.2993,46594.87152,0,-76.6402
10.671,22.3507,46776.80206,0,-76.9347
10.676,22.4015,46956.9397,0,-77.2403
10.681,22.4517,47130.29861,0,-77.5281
10.686,22.5015,47293.49899,0,-77.8061
10.691,22.551,47449.19205,0,-78.054
10.696,22.6002,47599.617,0,-78.265
10.701,22.6492,47749.64142,0,-78.4702
10.706,22.6982,47899.06311,0,-78.68
10.71,22.7374,48017.80319,0,-78.8676
10.711,22.7472,48047.47391,0,-78.9125
13.213,27.166,48650.42496,0,-65.2065
13.218,27.166,48640.5983,0,-65.1683
13.223,27.1661,48633.99506,0,-65.141
13.228,27.1666,48632.19452,0,-65.126
13.233,27.1683,48636.74545,0,-65.122
13.238,27.1723,48647.05276,0,-65.13
13.243,27.1803,48663.65051,0,-65.1578
13.248,27.1939,48690.28091,0,-65.1902
13.253,27.2143,48734.48944,0,-65.2284
13.258,27.2421,48810.48584,0,-65.3072
13.263,27.2771,48927.51694,0,-65.4495
13.268,27.3184,49084.24759,0,-65.6349
13.273,27.3647,49266.17432,0,-65.8325
13.278,27.4147,49453.6705,0,-66.0196
13.283,27.467,49631.95038,0,-66.1971
13.288,27.5205,49794.66248,0,-66.3479
13.293,27.5743,49942.78336,0,-66.4747
13.298,27.6277,50081.76422,0,-66.5937
13.303,27.6806,50219.30313,0,-66.7303
13.308,27.7327,50360.48126,0,-66.8766
13.313,27.7841,50501.70517,0,-66.9866
13.318,27.8347,50638.83972,0,-67.0796
13.323,27.8848,50768.7912,0,-67.1694
13.328,27.9345,50891.83807,0,-67.2463
13.333,27.9839,51011.33728,0,-67.3043
13.338,28.0331,51131.29044,0,-67.3361
13.343,28.0821,51253.37982,0,-67.3906
13.348,28.1311,51375.92316,0,-67.48
13.352,28.1703,51472.96524,0,-67.5631
13.353,28.1801,51496.80328,0,-67.5834
15.848,32.6003,50137.7182,0,-49.107
15.853,32.6003,50131.27136,0,-49.1062
15.858,32.6004,50129.77982,0,-49.118
15.863,32.6009,50132.21359,0,-49.1329
15.868,32.6026,50141.76178,0,-49.1526
15.873,32.6066,50159.70993,0,-49.1902
15.878,32.6145,50187.22916,0,-49.2461
15.883,32.628,50222.96143,0,-49.3
15.888,32.6482,50265.17105,0,-49.3079
15.893,32.6757,50319.18335,0,-49.2942
15.898,32.7104,50394.40918,0,-49.2744
15.903,32.7514,50491.84799,0,-49.2315
15.908,32.7974,50602.63062,0,-49.1669
15.913,32.8472,50713.52386,0,-49.1043
15.918,32.8994,50812.6297,0,-49.0183
15.923,32.9528,50895.54977,0,-48.9098
15.928,33.0065,50972.26715,0,-48.7878
15.933,33.0601,51052.09351,0,-48.6832
15.938,33.1131,51138.87024,0,-48.6055
15.943,33.1654,51236.44638,0,-48.5627
15.948,33.2169,51344.32983,0,-48.5378
15.953,33.2677,51455.73044,0,-48.5173
15.958,33.3178,51563.36212,0,-48.4926
15.963,33.3676,51667.76276,0,-48.4616
15.968,33.417,51771.56448,0,-48.4512
15.973,33.4661,51879.6463,0,-48.4591
15.978,33.5152,51993.17551,0,-48.4901
15.983,33.5642,52110.39734,0,-48.5306
15.987,33.6034,52205.26886,0,-48.5789
15.988,33.6132,52229.03824,0,-48.5948
24.323,0.0008,-3471.13514,-9.6543,64.3826
24.328,0.0008,-3465.31749,-9.6543,64.3585
24.333,0.0009,-3451.45273,-9.6543,64.3106
24.338,0.0017,-3426.92947,-9.6543,64.2421
24.343,0.0044,-3393.80741,-9.6543,64.1667
24.348,0.0107,-3350.50845,-9.6543,64.0557
24.353,0.0223,-3289.62684,-9.6543,63.8829
