Time,Displacement,Force
"0.0000","0.0000","0.0563"
"0.0200","0.0001","0.0681"
"0.0400","0.0011","0.2280"
"0.0600","0.0070","1.2070"
"0.0800","0.0209","3.6545"
"0.0960","0.0355","6.1822"
"0.1120","0.0507","8.7393"
"0.1300","0.0665","11.3573"
"0.1500","0.0823","13.8898"
"0.1700","0.0979","16.3939"
"0.1900","0.1144","19.0095"
"0.2100","0.1306","21.5615"
"0.2300","0.1471","24.1534"
"0.2490","0.1634","26.6932"
"0.2690","0.1800","29.2525"
"0.2890","0.1959","31.6727"
"0.3090","0.2119","34.1062"
"0.3290","0.2281","36.5629"
"0.3490","0.2446","39.0578"
"0.3690","0.2618","41.6588"
"0.3890","0.2789","44.2109"
"0.4090","0.2950","46.5787"
"0.4290","0.3113","48.9727"
"0.4490","0.3281","51.4456"
"0.4690","0.3447","53.8554"
"0.4890","0.3613","56.2649"
"0.5090","0.3778","58.6326"
"0.5290","0.3941","60.9468"
"0.5490","0.4109","63.3515"
"0.5690","0.4283","65.8161"
"0.5890","0.4449","68.1578"
"0.6090","0.4616","70.5015"
"0.6290","0.4787","72.9149"
"0.6490","0.4950","75.1621"
"0.6690","0.5109","77.3360"
"0.6890","0.5273","79.6028"
"0.7090","0.5439","81.8659"
"0.7290","0.5608","84.1844"
"0.7490","0.5779","86.5265"
"0.7690","0.5946","88.7754"
"0.7890","0.6108","90.9316"
"0.8090","0.6278","93.2181"
"0.8290","0.6451","95.5309"
"0.8490","0.6614","97.6463"
"0.8690","0.6775","99.7285"
"0.8890","0.6937","101.8306"
"0.9090","0.7101","103.9475"
"0.9290","0.7273","106.1897"
"0.9490","0.7447","108.4543"
"0.9690","0.7617","110.6044"
"0.9890","0.7786","112.7420"
"1.0090","0.7955","114.8577"
"1.0290","0.8117","116.8557"
"1.0490","0.8279","118.8358"
"1.0690","0.8444","120.8688"
"1.0890","0.8608","122.8749"
"1.1090","0.8775","124.8965"
"1.1290","0.8946","126.9789"
"1.1490","0.9112","128.9632"
"1.1690","0.9278","130.9493"
"1.1890","0.9449","132.9981"
"1.2090","0.9615","134.9370"
"1.2290","0.9778","136.8259"
"1.2490","0.9942","138.7012"
"1.2690","1.0105","140.5639"
"1.2890","1.0271","142.4682"
"1.3090","1.0446","144.4807"
"1.3290","1.0620","146.4863"
"1.3490","1.0789","148.3501"
"1.3690","1.0955","150.1800"
"1.3890","1.1118","151.9486"
"1.4090","1.1279","153.6849"
"1.4290","1.1444","155.4836"
"1.4490","1.1610","157.2813"
"1.4690","1.1774","159.0333"
"1.4890","1.1943","160.8373"
"1.5090","1.2113","162.6535"
"1.5290","1.2278","164.3518"
"1.5490","1.2443","166.0596"
"1.5690","1.2614","167.8276"
"1.5890","1.2780","169.5091"
"1.6090","1.2944","171.1382"
"1.6290","1.3110","172.7935"
"1.6490","1.3272","174.3615"
"1.6690","1.3439","175.9943"
"1.6890","1.3613","177.7222"
"1.7090","1.3782","179.3332"
"1.7290","1.3949","180.8988"
"1.7490","1.4118","182.4887"
"1.7690","1.4285","184.0412"
"1.7890","1.4449","185.5150"
"1.8090","1.4614","186.9944"
"1.8290","1.4779","188.4653"
"1.8490","1.4943","189.8720"
