Time,Displacement,Force
"0.0000","0.0000","-0.0159"
"0.0200","0.0001","-0.0043"
"0.0400","0.0009","0.1461"
"0.0600","0.0054","1.0634"
"0.0790","0.0173","3.6565"
"0.0930","0.0297","6.2852"
"0.1060","0.0419","8.8040"
"0.1200","0.0547","11.3949"
"0.1350","0.0676","13.9540"
"0.1510","0.0805","16.4789"
"0.1680","0.0937","19.0267"
"0.1850","0.1070","21.5784"
"0.2020","0.1209","24.2233"
"0.2180","0.1340","26.7305"
"0.2350","0.1477","29.3054"
"0.2520","0.1616","31.8941"
"0.2680","0.1751","34.4215"
"0.2850","0.1893","37.0504"
"0.3020","0.2030","39.5713"
"0.3190","0.2168","42.0791"
"0.3360","0.2305","44.5982"
"0.3540","0.2450","47.2209"
"0.3710","0.2591","49.7618"
"0.3870","0.2728","52.2679"
"0.4030","0.2868","54.7897"
"0.4200","0.3012","57.3594"
"0.4370","0.3154","59.8679"
"0.4550","0.3304","62.5117"
"0.4730","0.3453","65.1144"
"0.4910","0.3598","67.6302"
"0.5090","0.3744","70.1609"
"0.5270","0.3893","72.7476"
"0.5450","0.4040","75.2650"
"0.5630","0.4190","77.8277"
"0.5800","0.4335","80.3343"
"0.5980","0.4487","82.8822"
"0.6170","0.4642","85.4864"
"0.6350","0.4793","88.0260"
"0.6530","0.4948","90.5984"
"0.6720","0.5106","93.2024"
"0.6910","0.5261","95.7274"
"0.7100","0.5417","98.2648"
"0.7290","0.5572","100.7698"
"0.7480","0.5730","103.3217"
"0.7660","0.5888","105.8756"
"0.7850","0.6050","108.4506"
"0.8050","0.6214","111.0042"
"0.8250","0.6380","113.6030"
"0.8450","0.6548","116.2255"
"0.8650","0.6713","118.7411"
"0.8850","0.6876","121.2481"
"0.9050","0.7043","123.7768"
"0.9250","0.7207","126.2142"
"0.9450","0.7371","128.6618"
"0.9650","0.7540","131.1697"
"0.9850","0.7706","133.6118"
"1.0050","0.7874","136.0654"
"1.0250","0.8045","138.5548"
"1.0450","0.8209","140.8712"
"1.0650","0.8372","143.1443"
"1.0850","0.8539","145.5004"
"1.1050","0.8706","147.8094"
"1.1250","0.8873","150.1408"
"1.1450","0.9046","152.5236"
"1.1650","0.9214","154.8025"
